2024-11-25 20:07:43,728 INFO o.a.j.u.JMeterUtils: Setting Locale to en_EN
2024-11-25 20:07:44,037 INFO o.a.j.JMeter: Loading user properties from: C:\Utils\apache-jmeter-5.6.3\bin\user.properties
2024-11-25 20:07:44,038 INFO o.a.j.JMeter: Loading system properties from: C:\Utils\apache-jmeter-5.6.3\bin\system.properties
2024-11-25 20:07:44,046 INFO o.a.j.JMeter: Copyright (c) 1998-2024 The Apache Software Foundation
2024-11-25 20:07:44,047 INFO o.a.j.JMeter: Version 5.6.3
2024-11-25 20:07:44,047 INFO o.a.j.JMeter: java.version=19.0.1
2024-11-25 20:07:44,047 INFO o.a.j.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM
2024-11-25 20:07:44,047 INFO o.a.j.JMeter: os.name=Windows 10
2024-11-25 20:07:44,047 INFO o.a.j.JMeter: os.arch=amd64
2024-11-25 20:07:44,047 INFO o.a.j.JMeter: os.version=10.0
2024-11-25 20:07:44,048 INFO o.a.j.JMeter: file.encoding=UTF-8
2024-11-25 20:07:44,048 INFO o.a.j.JMeter: java.awt.headless=true
2024-11-25 20:07:44,048 INFO o.a.j.JMeter: Max memory     =1073741824
2024-11-25 20:07:44,048 INFO o.a.j.JMeter: Available Processors =16
2024-11-25 20:07:44,070 INFO o.a.j.JMeter: Default Locale=English (EN)
2024-11-25 20:07:44,070 INFO o.a.j.JMeter: JMeter  Locale=English (EN)
2024-11-25 20:07:44,070 INFO o.a.j.JMeter: JMeterHome=C:\Utils\apache-jmeter-5.6.3
2024-11-25 20:07:44,089 INFO o.a.j.JMeter: user.dir  =C:\Users\danie\Dropbox\bonjr\coding\VSProjects\Lets_SAS_RPI_Websites\Jmeter
2024-11-25 20:07:44,091 INFO o.a.j.JMeter: PWD       =C:\Users\danie\Dropbox\bonjr\coding\VSProjects\Lets_SAS_RPI_Websites\Jmeter
2024-11-25 20:07:49,458 INFO o.a.j.JMeter: IP: 169.254.5.254 Name: OlijebwaPC FullName: OlijebwaPC
2024-11-25 20:07:50,204 INFO o.a.j.s.FileServer: Default base='C:\Users\danie\Dropbox\bonjr\coding\VSProjects\Lets_SAS_RPI_Websites\Jmeter'
2024-11-25 20:07:50,208 INFO o.a.j.s.FileServer: Set new base='C:\Users\danie\Dropbox\bonjr\coding\VSProjects\Lets_SAS_RPI_Websites\Jmeter'
2024-11-25 20:07:52,077 INFO o.a.j.s.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2
2024-11-25 20:07:52,236 INFO o.a.j.s.SaveService: Using SaveService properties version 5.0
2024-11-25 20:07:52,240 INFO o.a.j.s.SaveService: Using SaveService properties file encoding UTF-8
2024-11-25 20:07:52,244 INFO o.a.j.s.SaveService: Loading file: C:\Users\danie\Dropbox\bonjr\coding\VSProjects\Lets_SAS_RPI_Websites\Jmeter\traffic_simulation_spike.jmx
2024-11-25 20:07:53,268 INFO o.a.j.p.h.s.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser
2024-11-25 20:07:53,269 INFO o.a.j.p.h.s.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser
